Name,Manufacturer,Composition,INCI,Status,Expiration
Palmölfrei Grundseife mit Zitronensäure und Glycerin,Carl Alois Walde GmbH & Co KG,0.5% Natural 86.64% Derived natural 12.86% Water,"Sodium Olivate, Sodium Cocoate, Sodium Stearate, Aqua, Glycerin, Sodium Chloride, Sodium Citrate",approved,10/07/2026
SolAmaze™ Natural,Nouryon Surface Chemistry AB,100% Derived natural,"Diisostearoyl Polyglyceryl-3 Dimer Dilinoleate, Caprylic/Capric Triglyceride",approved,10/07/2026
Plantapon ACG 35,BASF Personal Care and Nutrition GmbH,40% Derived natural 60% Water,"Aqua, Sodium Cocoyl Glutamate, Propylene Glycol",approved,16/07/2026
Lanette O OR,BASF Personal Care and Nutrition GmbH,100% Derived natural,Cetearyl Alcohol,approved,24/08/2026
Texapon LS 30,BASF Personal Care and Nutrition GmbH,30% Derived natural 70% Water,"Aqua, Sodium Lauryl Sulfate",approved,20/08/2026
Texapon LS 30 MB,BASF Personal Care and Nutrition GmbH,30% Derived natural 70% Water,"Aqua, Sodium Lauryl Sulfate",approved,20/08/2026
Hydagen CAT,BASF Personal Care and Nutrition GmbH,100% Derived natural,Triethyl Citrate,approved,24/08/2026
PARYOL 286 GS/AO - Sunflower oil - refined (high oleic),A&A f.lli Parodi spa,100% Natural,HELIANTHUS ANNUUS HYBRID OIL,approved,19/06/2026
PARYOL 448 BG/R - Borage oil - refined,A&A f.lli Parodi spa,100% Natural,BORAGO OFFICINALIS SEED OIL,approved,19/06/2026
SSB 55 ASTRA FL,Stroever GmbH & Co. KG,100% Natural,Shellac,approved,15/09/2026
SSB 56 SONNE FL,Stroever GmbH & Co. KG,100% Natural,Shellac,approved,15/09/2026
SSB 57 LUNA FL,Stroever GmbH & Co. KG,100% Natural,Shellac,approved,15/09/2026
SSB 58 KOMET FL,Stroever GmbH & Co. KG,100% Natural,Shellac,approved,15/09/2026
SSB A 3860,Stroever GmbH & Co. KG,25% Natural 75% Water,"Aqua, Ammonium Shellacate",approved,15/09/2026
SSB AQUAGOLD,Stroever GmbH & Co. KG,25% Natural 75% Water,"Aqua, Ammonium Shellacate",approved,15/09/2026
ProCutiGen Vegan Thermal Shield,Active Concepts Srl,100% Natural,"Saccharomyces Cerevisiae Extract, Leuconostoc/Radish Root Ferment Filtrate",approved,16/09/2026
SP NATRAGEM S140 NP MBAL-LQ-(MV),Croda Europe Ltd,80% Derived natural 20% Water,"Polyglyceryl-4 Laurate/Sebacate, Polyglyceryl-6 Caprylate/Caprate, Aqua",approved,17/09/2026
Natrosolve 126,Vitamar AG,17% Natural 83% Derived natural,Triethylcitrate Polyglyceryl-4-Oleate Alcohol,approved,15/12/2026
Natural Extract AP,Finnfeeds Finland Oy,100% Natural,Betaine,approved,14/11/2026
GENENCARE OSMS BA,Finnfeeds Finland Oy,100% Natural,Betaine,approved,14/11/2026
GENENCARE OSMS BH,Finnfeeds Finland Oy,100% Natural,Betaine,approved,14/11/2026
GENENCARE OSMS MI,Finnfeeds Finland Oy,100% Natural,Inositol,approved,14/11/2026
GENENCARE OSMS CC,Finnfeeds Finland Oy,97% Natural 1.7% Derived natural 1.3% Water,"Betaine, Tricalcium Phosphate, Aqua",approved,14/06/2027
Cholesterol,DEUTSCHE-LANOLIN-GESELLSCHAFT  Parmentier GmbH & Co. KG,100% Derived natural,Cholesterol,approved,05/10/2026
Lanolan EP ELP,DEUTSCHE-LANOLIN-GESELLSCHAFT  Parmentier GmbH & Co. KG,100% Natural,Lanolin,approved,05/10/2026
Lanolan Oil,DEUTSCHE-LANOLIN-GESELLSCHAFT  Parmentier GmbH & Co. KG,100% Natural,Lanolin Oil,approved,05/10/2026
Lanolan Wax,DEUTSCHE-LANOLIN-GESELLSCHAFT  Parmentier GmbH & Co. KG,100% Natural,Lanolin Wax,approved,05/10/2026
Lanowax,DEUTSCHE-LANOLIN-GESELLSCHAFT  Parmentier GmbH & Co. KG,100% Derived natural,Lanolin Alcohol,approved,05/10/2026
BIOTILYS (NAT) (001193),GREENTECH SA,53.5% Derived natural 46.5% Water,"Aqua, Propanediol, Lactobacillus Ferment Lysate",approved,14/10/2026
SOLIBERINE NAT (001173),GREENTECH SA,6% Natural 47% Derived natural 47% Water,"Aqua, Propanediol, Buddleja Officinalis Flower Extract",approved,14/10/2026
SP CRODAMOL MS MBAL-PA-(SG),Croda Europe Ltd,100% Derived natural,Myristyl Stearate,approved,15/10/2026
Spectrastat™ CHA,"Inolex, Inc",100% Derived natural,Caprylhydroxamic acid (CHA),approved,03/11/2026
Spectrastat™ G2 Natural MB,"Inolex, Inc",100% Derived natural,Glyceryl Caprylate Glycerin Caprylhydroxamic acid (CHA),approved,03/11/2026
Lexgard® Natural MB,"Inolex, Inc",100% Derived natural,Glyceryl Caprylate Glyceryl Undecylenate,approved,03/11/2026
DermCom,Mibelle AG Biochemistry,91.4% Natural 8.6% Water,"Acacia Senegal Gum, Water, Crocus Chrysanthus Bulb Extract",approved,04/11/2026
SP ARLACEL 2121 MBAL-FL-(MV),Croda Europe Ltd,100% Derived natural,"Sorbitan Stearate, Sucrose Cocoate",approved,09/11/2026
InfraGuard pwd / KeraGuard pwd,Mibelle AG Biochemistry,3.78% Natural 90% Derived natural 6.22% Water,"Caesalpinia Spinosa Fruit Pod Extract, Helianthus Annuus (Sunflower) Sprout Extract, Maltodextrin, Aqua",approved,23/11/2026
SP ARLACEL 2121 MBAL-PW-(MV),Croda Europe Ltd,100% Derived natural,"Sorbitan Stearate, Sucrose Cocoate",approved,24/11/2026
MossCellTec™ No. 1,Mibelle AG Biochemistry,0.005% Natural 94% Derived natural 5.995% Water,"Phytol, Isomalt, Aqua",approved,07/12/2026
WeylCare CetylP,Catexel GmbH,100% Derived natural,Potassium Cetyl Phosphate,approved,09/12/2026
PUROLAN TEC-I,LANXESS Deutschland GmbH,100% Derived natural,Triethyl Citrate,approved,15/12/2026
Cosphaderm® CHA,Cosphatec GmbH,100% Derived natural,Caprylhydroxamic Acid,approved,21/12/2026
Cosphaderm® Feel,Cosphatec GmbH,100% Derived natural,Triheptanoin,approved,21/12/2026
Cosphaderm® GMUD,Cosphatec GmbH,100% Derived natural,Glyceryl Undecylenate,approved,21/12/2026
Cosphaderm® LA-T,Cosphatec GmbH,90% Derived natural 10% Water,"Aqua, Glycerin, Levulinic Acid, Sodium Levulinate",approved,21/12/2026
Cosphaderm® Magnolia Extract 98,Cosphatec GmbH,100% Natural,Magnolia Officinalis Bark Extract,approved,21/12/2026
Cosphaderm® pAS natural,Cosphatec GmbH,100% Derived natural,p-Anisic Acid,approved,21/12/2026
