Brand Name,Description
BIRKENGOLD,"Birkengold GmbH
Hauptplatz 3-5
3202 Hofstetten
Austria

https://www.birkengold.com

With a young team of 10 employees, including two nutritionists, Birkengold is taking the market of sugar free and Xylitol based products to another level. 

The company was founded in 2011 by two health conscious visionaries and is still owner managed. Due to our positive attitude and conviction towards our goods and products we are currently market leader in Austria, Germany and Switzerland. 

We offer a unique, broad range of food and dental care products with xylitol and also supply many xylitol distributors in Europe with their varies private label products"
BLÜTE-ZEIT,"EUCO GmbH - EDEKA Zentrale AG &Co KG
New-York-Ring 6
22297 Hamburg
Germany
www.edeka.de/ernaehrung/beauty/bluete-zeit.jsp

EDEKA - one of the leading food retailers in Germany.

Third Party Manufacturers:

Albaad Deutschland GmbH
Am Langenhorster Bahnhof 23
48601 Ochtrup
Germany
www.albaad.com

Emil Kiessling GmbH
Obere Lerch 40
91166 Georgensgmünd
Germany
www.emil-kiessling.de

Femia Cosmetic Vertriebsgesellschaft mbH
Gut Weide 1
52078 AACHEN
Germany
www.femia.de

Ideapro GmbH
Binnenhafenstraße 7
68159 Mannheim
Germany
www.ideapro.de

JM Nature
Adalbert-Stifter Str. 15
34246 Vellmar
Germany
https://ben-anna.com

Maxim Markenprodukte 
Donatusstraße 112
50259 Pulheim-Brauweiler
Germany
maxim-markenprodukte.de

Otto Cosmetic GmbH 
Werner-von-Siemens-Straße 3
68649 Groß-Rohrheim
Germany
www.otto-cosmetic.de"
CARA BIO COSMETICS,"NUSSYY® GmbH
Schottenfeldgasse 6
1070 Wien
Austria
www.nussyy.at

Third party manufacturer
PURE GREEN GmbH
Gewerbepark 17
6426 Roppen
Austria
www.puregreen.at"
CELLAGON,"Hans Günther Berner GmbH + Co KG
Hasenholz 10
24161 Altenholz
Germany
www.cellagon.de/kosmetik-und-pflege"
CERES SPEZIALPFLEGE,"Ceres Heilmittel GmbH
Schloss Türnich
50169 Kerpen
Germany
https://www.ceres-spezialpflege.com"
CHARLOTTE MEENTZEN,"Charlotte Meentzen Kräutervital Kosmetik GmbH
Carl-Eschebach-Straße 10
01454 Radeberg
Germany
www.meentzen.de"
CIEN NATURE,"Lidl Stiftung & Co. KG
Stiftsbergstraße 1
74167 Neckarsulm
Germany

Manufacturers:

Cosmolux Deutschland GmbH
Carl-Friedrich-Gauß-Str. 2
50259 Pulheim
Germany

Premium Cosmetics GmbH
Schillerstrasse 23-25
73054 Eislingen
Germany

WIN COSMETIC GmbH & Co KG
Wilhelm-Ternis-Strasse 21-25 
67592 Florsheim-Dalsheim
Germany"
CONAD BABY NATURAL,"CONAD SOCIETÀ COOPERATIVA
Via Michelino, 59 
40127 BOLOGNA
Italy
www.conad.it/nostri-prodotti/spesa-di-qualita/conad-baby.html?page=4

Third party manufacturer:

Co.ind. s.c.
Via Noalese Sud, 47
30033 Noale - Venezia, 
Italy
www.coindcosmetics.it"
CONASKIN,"Conaskin GmbH
Schauenburgerstraße 116
24118 Kiel
Germany

https://conaskin.de/"
CORE ACTIVE,"Nutriactive Ltda
Avenida Invernada, 1647
Sala 02
Parque Nova Suiça
Valinhos, São Paulo
CEP 13271-450
Brazil
www.nutriactive.com.br"
COSNATURE,"Cosmolux Deutschland GmbH
Carl-Friedrich-Gauß-Str. 2
50259 Pulheim
Germany

https://www.cosnature.de"
CRESCENDO COOP,"COOP Italia 
Via del Lavoro 6/8 
40033 Casalecchio di Reno (BO)
Italy
https://www.e-coop.it/crescendo

Third party manufacturers:
PIERPAOLI S.R.L. 
Via Enrico Mattei, 20
60019 Senigallia AN
Italy
www.pierpaoli.com

DIVA INTERNATIONAL SRL
Via dell'Industria, 7
06038 Spello (PG)
Italy
www.divaint.it

Co.ind.s.c.
Via Noalese Sud, 47
30033 Noale - Venezia, 
Italy
www.coindcosmetics.it"
GREENETIQ DENMARK,"GreenEtiq Denmark
Søvej 8A
Hornbæk
3100
Denmark
www.green-etiq.dk

The three most important elements behind the brand GreenEtiq:

1. My passion for good business cases & the cosmetic industry, which to me is a constant quest or High Quality for a reasonable money. With my insight into and experience with the cosmetics world, I want to make it possible, to offer an ecological & natural based assortment, of the highest quality, for reasonable money. A brand where the ethics are high, an honest brand where you can rely on claims and markting. 

2.  ”If you can not stand eating it, then it won´t be healthy for your skin”. The increased awareness of living healthy, - not  feeding your body, either on the outside or the inside, which is not good for it. 

3. Taking care of our environment, so that our dearest owner, the descendants of all of us, have an equally beautiful, green  and wonderful world, in the future, as we have today. Personally, I Iove to move around in the nature, whether it is summer or winter, I have daily walking or cycling trips with the family and/or with our dear dog, or on horseback. 

Hoping very much, that you will enjoy GreenEtiq Denmark, feel the nature and the effective effect, just as much as I do myself.

The Best Greetings 

Tine Ejlersen Liebeck"
GRÜNE ERDE,"Grüne Erde GmbH
Hauptstr. 9
4644 Scharnstein
Austria

https://www.grueneerde.com"
HAPPY EARTH,"Orange-Perfomance BV
Schuttersweg 8
1217 PZ Hilversum
The Netherlands
www.happyearthcare.com

Happy Earth offers cheerfulness and optimism with the best products for you and the earth. At Happy Earth we only use 100% natural ingredients. The products are vegan, microplastic-free and completely free of chemicals. That will make your skin extra happy! In addition, the packaging is as sustainable as possible: completely zero waste, plastic-free, tubes made from sugar cane or 100% recycled plastic. And don't forget: we produce in the Netherlands with green energy. Happy Earth, happy you!"
HELIOTROP,"LOGOCOS Natural Care Company AG
zur Kräuterwiese
31020 Salzhemmendorf ( Oldendorf )
Germany
www.heliotrop.de
www.logocos.de

Since 1925, Heliotrop has stood for premium organic cosmetics made from high-quality plant-based active ingredients whilst combining the power of nature with the findings of science.  The intensively regenerating formulas of natural cosmetics are subject to high quality standards to meet the demands of natural beauty. The unique plant-based active complex in HELIOTROP products gives every skin need a real moment of pampering."
HEMP HEALTH KFT.,"Hemptouch d.o.o.
Podbreznik 15
8000 Novo mesto
Slovenia
https://www.hemptouch.com
https://hemphealth.hu"
HEMPTOUCH,"Hemptouch d.o.o.
Podbreznik 15
8000 Novo mesto
Slovenia
www.hemptouch.com

We’re passionate about bringing the extraordinary skincare benefits of hemp to people across the world. We are experts in skincare problems and in using hemp to treat them. In Slovenia we have a long tradition of working with hemp and we know well the powerful qualities of this incredible plant. We are committed to innovation and accountability.
In Slovenia the hemp plant has been cultivated for centuries for use in industry, clothing and skincare. Maybe more than any other country in the world, we really understand this extraordinary plant. Our great-grandparents grew hemp and now we are continuing this important legacy today.
Hemp is naturally rich in CBD which has powerful properties that alleviate and support many skincare problems. We have a dedicated CBD skincare range and we also offer products that do not contain any CBD.

We carefully source organic and natural hemp alongside a variety of other botanical ingredients to produce our skincare products in the most effective and sustainable way we can to benefit both people and planet.
We’ve been producing award-winning skincare products since 2014 and transforming the lives of many people with skincare problems."
HERBALIND,"Herbalind GmbH & Co. KG
Waldenserstraße 2-4
10551 Berlin
Germany
https://herbalind-naturkosmetik.de

Third party manufacturer
Dreiturm GmbH
Dr.-Rudolf-Hedler-Straße 1
36396 Steinau an der Straße
Germany
https://dreiturm.de"
HILDEGARD,"BANO Healthcare GmbH
Annagasse 17
2500 Baden
Austria
https://www.bano.at/

Fresh from the mountains

The origin of BANO lies in the Arlberg Apotheke in St. Anton am Arlberg, which was founded in the 1970s by the pharmacist called Josef Bano. For 40 years, BANO Healthcare has stood for high-quality Austrian natural products, natural remedies, medical devices and pharmaceuticals. 
Visit us at www.bano-healthcare.at for more information."
I AM NATURAL COSMETICS,"Migros-Genossenschafts-Bund
Limmatstrasse 152
8005 Zürich
Switzerland 
produkte.migros.ch/marken/i-am

Our values 

The certified products are characterized by the high quality of the formulations and ingredients: 
.  Without synthetic colorants and fragrances 
.  Without petroleum-based ingredients 
.  Skin compatibility dermatologically tested 
.  With ingredients from certified organic production 
.  Plant-based, without animal ingredients (except honey in the mask) 
.  Natural or nature-identical preservation 
.  Development without tests on animals
.  pH-skin-neutral"
INNTALER NATURE & ORGANIC,"INNTALER NATURPRODUKTE GMBH
Neuӧttinger Str.23
84543 Winhӧring
Germany
https://www.inntaler-naturprodukte.de"
JARDIN DES MONTS,"Jardin des Monts Sàrl
Chemin du Mont 7
1658 Rossinière
Switzerland

https://www.jardindesmonts.ch

The Mountain Herbalist 

Jardin des Monts’ terrace cultivation in the Pays-d’Enhaut, on the sun-drenched Swiss mountainside,, has revived once forgotten highland pastures.. Both wild and organically grown plants are hand-picked with the utmost care and transformed into precious plant extracts. Our commitment to providing you with all the natural benefits of plants that have flourished in the mountain air stems from our respectful approach to nature. We bring you unique and authentic creations, naturally and organically grown, prepared throughout the seasons from harvests of cultivated and wild plants. Made in Switzerland."
JEAN D'ARCEL VÉGÉTALIE,"Jean D'Arcel Cosmetique GmbH
Im Fuchseck 10 - 12
77694 Kehl
Germany

http://www.jda.de

BEAUTY PASSION 

For more than 50 years, family-owned company JEAN D'ARCEL Cosmétique stands for high quality, effective skin care and partnership-based co-operation with its customers. Today, the company's products and treatment methods are available in more than 40 countries. 

Arisen from the tradition of French cosmetics, dynamically developing with innovativeness and all the time searching for new state-of-the-art actives, JEAN D'ARCEL Cosmétique's declared intent is to preserve beauty and round it off with perfect care. 

JEAN D'ARCEL offers a wide range of high effective skin care, which is available exclusively in beauty salons, Day Spa's and SPAs. Our objective has always been to offer our customers skincare products and treatment systems of high end quality in a perfect harmony of effectiveness and wellbeing. 

BEAUTY SCIENCE 

The JEAN D'ARCEL product range stands for effectiveness, quality and completeness.

Co-ordinated to all skin requirements, the range encompasses beauty concepts offering high-quality care products for ladies and gentlemen, make-up, an extensive body care range and fragrances. 

Top priority is given to research and development. Always seeking to offer the best possible solutions, new active substances are constantly studied in the company's in-house laboratories to enable even more effective products and individual solutions to be made available.

To achieve this, knowledge drawn from the fields of medicine, dermatology and beauty surgery is combined with traditional systems of action. 
The effectiveness and tolerability of each product are studied in dermatological tests to offer partners and users maximum safety. 

Our objective is perfect harmony between research, effect and the application ritual."
JUNIPER LANE,"Cura Marketing GmbH
Dr. Franz-Werner-Straße 19
6020 Innsbruck
Austria
www.curacosmetic.com"
KAPPUS NATURE,"Kappus 1848 GmbH
Beiersdorfstr. 1
79423 Heitersheim
Germany
https://www.kappus.com"
KENZAI COSMETICS,"Kenzai Cosmetics Sàrl 
c/o Maître Florence Aebi
Rue des Terreaux 2
1003 Lausanne
Switzerland
https://www.kenzai-cosmetics.swiss"
KLUGE BEAUTY ORGANIC,"KLUGE VISION 
Paradlesstrasse 58
73230 Kirchheim unter Teck
Germany
https://www.klugevision.com
https://www.klugebeauty.com
https://kluge.world/en/collections"
KNEIPP NATURAL COSMETICS,"Kneipp-Werke, Kneipp-Mittel-Zentrale GmbH & Co KG
Winterhäuser Str. 85
97084 Würzbug
Germany 

https://www.kneipp.com

The brand Kneipp® is based on the knowledge of the German priest Sebastian Kneipp. He focused intensively his entire life on the effects of water and plants. Over the years, he expanded his knowledge into a systematic philosophy with the 5 pillars of water, plants, exercise, nutrition and balance. Kneipp created such a holistic concept of life that the person, his/her lifestyle habits and his/her natural environment are inextricably considered to be a balanced unit.

In 1891, he placed his knowledge in the hands of a friend, the pharmacist Leonhard Oberhäußer, and transferred the rights to him to produce and market goods ""with the name and image of Father Sebastian Kneipp."" This laid the foundation for the Kneipp® brand. 

Nowadays, Sebastian Kneipp's philosophy is more current than ever - and the Kneipp® experts ensure that the 125 years of expertise in nature are relevant today. The traditional brand Kneipp® stands for effective, innovative and natural product concepts for well-being and health based on the holistic teachings of Sebastian Kneipp."
KRAUTBAD,"KRAUTBAD
Willdenowstr. 10
13353 Berlin
Germany
https://krautbad.de"
KRUUT,"Kruut GmbH
Auguststraße 50B
10119 Berlin
Germany
https://kruut.de"
KUMARI,"KUMARI – Produkte Vertriebs GmbH
Stutterheimstraße 16-18/2/10a
1150 Wien
Austria
www.kumari.at

Third party manufacturer:
HyWeCo®  GmbH
Bei Rölkers Wiesen 6
49565 Bramsche
Germany
www.hyweco.de"
MARAISO,"MARAISO DI MARA ISONNI
VIALE DELL’INDUSTRIA, 38 CAP 
37135 VERONA (VR)
ITALY
https://maraiso.it"
MARC O'POLO,"Marc O'Polo Einzelhandels GmbH
Hofgartenstraße 1
83071 Stephanskirchen 
Germany
www.marc-o-polo.com

Third party manufacturer:
Hegron Cosmetics B.V.
Van IJsendijkstraat 174
1442 LC Purmerend
Netherlands
www.hegron.nl"
MARCH,"MARCHCARE Naturkosmetik Handels GmbH
Göttelsberg 278
8160 Mortantsch
Austria
https://march.care

Third party manufacturer
Pure green GmbH
Gewerbepark 17 
6426 Roppen 
Austria
www.puregreen.at"
MARIE W.,"M.W. Internationale Naturprodukte GmbH
Schacht Jakob 15
45259 Essen
Germany

https://www.marie-w.de/"
MARULALA,"marulala
Hohenzollernweg 30
78083 Dauchingen
Germany

https://www.marulala.de

marulala is a vegan, free from animal testing, natural cosmetics series based on the high-quality
Marula oil. It has been specially developed for demanding, sensitive and dry skin.

The marulala products are strengthening, nourishing, regreasing and moisture-binding. They strengthen the
skin's own lipid film and make the skin velvety soft and smooth. 

The marulala products containing water, are produced with the purest spring water, far from any environmental impact. so that the
high-grade and quality of marulala remains unique."
MASTER LIN,"GW Cosmetics GmbH
Achauerstr. 49a
2333 Leopoldsdorf
Austria
https://masterlin.com

GW Cosmetics develops and produces cosmetics for hair, face and body, internationally successful with its RefectoCil, BeautyLash, and Master Lin brand as well as with its private label products. As owner managed, mid-sized company with its own research and development it employs approximately 100 people. All products are exclusively produced at its site in Leopoldsdorf, Austria. The company is certified IFS-HPC, K-GMP ISO 22716, Natrue, Vegan Society and member of the“ Leading Companies of Austria“.

The success of GW Cosmetics arises from our passion for beauty and cosmetics and our aspiration to deliver the highest quality. As producer of premium and innovative cosmetic products we strive to make the lives of our consumers simpler and more enjoyable."
