Product Name,Brand,Certification,Manufacturer,Description
SIMPLY PURE 24H CREME,alviana Naturkosmetik,Natural cosmetics,Bonano GmbH,"Ingredients
Aqua, Helianthus Annuus Seed Oil*, Prunus Amygdalus Dulcis Oil*, Alcohol*, Cetearyl Alcohol, Glycerin, Hydrogenated Vegetable Glycerides, Butyrospermum Parkii Butter*, Cocos Nucifera Oil*, Olea Europaea Fruit Oil*, Coco-Caprylate/Caprate, Potassium Cetyl Phosphate, Bisabolol, Tocopherol, Sodium Hyaluronate, Hydrogenated Palm Glycerides, Stearyl Stearate, Sodium Levulinate, Xanthan Gum, Copernicia Cerifera Wax, Rhus Verniciflua Peel Cera, Levulinic Acid, Sodium Anisate, Citric Acid.
     * ingredients from certified organic agriculture
   ** from natural essential oils

Description
Sensitive skin? The special formulation of the fragrance-free Simply Pure 24h Cream soothes sensitive skin and provides it with lasting moisture.

-    a valuable beauty lipid complex of organic shea butter, organic almond, organic olive and organic coconut oil regenerates the skin and provides intensive care
-    plant-based bisabolol helps with skin irritations and redness
-    perfume free

  Cardboard packaging made of 90% recycled material
  Tube made of 50% recycled material (not including cap)

Usage
Apply to cleansed skin of the face, neck and décolleté."
APRICOT FACIAL SCRUB,Fair Squared,Natural cosmetics,Fair Squared GmbH,"Ingredients
Aqua, Decyl Glucoside, Coco Glucoside, Cellulose, Prunus Armeniaca Kernel Oil (Apricot Cernel Oil *), Lactic Acid, Xanthan Gum, Sodium Benzoate, Camellia Sinensis leaf water (Green Tea *), Parfum, Limonene, Linalool, Citral

Description
With this facial peeling old left-over parts of the skin can be softly removed. Due to the well-balanced texture of Fairtrade apricot kernel oil and green tea the skin gets sustainably nourished. The result is an extraordinary soft- ness and real anti-aging effect."
NUTRI CARE-HAARÖL BIO-ARGANÖL,Alterra Naturkosmetik,Natural cosmetics,Dirk Rossmann GmbH,"Ingredients 
GLYCINE SOJA OIL*, HELIANTHUS ANNUUS, SEED OIL*, COCO CAPRYLATE, PRUNUS AMYGDALUS, DULCIS OIL, ARGANIA SPINOSA, KERNEL OIL*, PERSEA GRATISSIMA OIL*, PRUNUS ARMENIACA, KERNEL OIL*, SESAMUM INDICUM, SEED OIL*, TOCOPHEROL, PARFUM**, LIMONENE**, LINALOOL**, GERANIOL**, CITRAL**
     * of controlled biological cultivation 
   ** from natural essential oils"
ALVERDE NATURKOSMETIK FESTE DUSCHE MIT MINZE-BERGAMOTTE-DUFT,alverde Naturkosmetik,Natural cosmetics,dm-drogerie markt GmbH + Co. KG,"Ingredients 
SODIUM COCO - SULFATE, CITRIC ACID, PARFUM**, THEOBROMA CACAO SEED BUTTER*, BUTYROSPERMUM PARKII (SHEA) BUTTER*, COCOS NUCIFERA (COCONUT) OIL*, CAMELLIA SINENSIS LEAF EXTRACT*, D-LIMONENE, CITRAL, LINALOOL
     * of controlled biological cultivation 
   ** from natural essential oils

Description
The solid shower with mint-bergamot scent from alverde NATURKOSMETIK is a successful alternative to products with plastic packaging. The vegan shower has a formula without parabens and without silicones."
HUILE BIO - CAROTTE SAUVAGE,Beauty Garden,Organic cosmetics,SARL LA FERME DE BEAUTE,"Ingredients
Helianthus annuus (Sunflower) seed oil*, Daucus carota sativa (Carrot) extract*, Parfum (Fragrance), Tocopherol, Linalool, Limonene, Citronellol.
          * of controlled biological cultivation

Description 
Regenerating Organic Oil wild carrot

We share the beauty secrets of this wildflower, an ideal macerate to rejuvenate and firm the entire body! The lovely white flower of wild carrot is well known in herbal medicine for its rejuvenating properties.

This plant is appreciated for its action on cell regeneration and works wonders for firmness on areas like legs, arms, thighs, and belly. It also helps in smoothing, especially on the décolleté and shoulder area. Plus, it has a delightful fragrance!

Usage
- Can be applied as a daily body treatment. Our organic oil is to be applied on all areas of the body that you want to ""smooth,"" especially the arms, décolleté, thighs, belly, buttocks... Use it daily for exceptional results. Once a week, to maximize its effects, use it after a body scrub.
- Consume within 12 months after opening the bottle."
HUILE BIO - REINE DES PRES,Beauty Garden,Organic cosmetics,SARL LA FERME DE BEAUTE,"Ingredients
Helianthus annuus (Sunflower) seed oil*, Spiraea ulmaria flower extract*, Parfum (Fragrance), Tocopherol, Linalool, Geraniol, Citronellol, Limonene. 
          * of controlled biological cultivation

Description
Meadowsweet Organic detox oil - body

This organic meadowsweet oil is detoxifying! This wildflower is highly sought after in herbal medicine for its detoxifying properties.

This body treatment is also ideal for helping the skin eliminate impurities. We invite you to use a organic body scrub first to maximize the benefits of the detox organic oil. When applied with circular movements on the entire body, you will especially appreciate its ""light legs"" effect and freshness!

Usage
- Can be used as a daily body treatment. Once a week, for maximum effects, use after a body scrub.
- Consume within 12 months after opening the bottle."
VITAMIN C REVITALISING EYE GEL,Trilogy Natural Products Ltd,Natural cosmetics,Trilogy Natural Products Ltd,"Ingredients
Aqua (water), Aloe barbadensis (aloe vera) leaf juice, Glycerin, Pentylene glycol, Bellis perennis (daisy) flower extract, Sodium ascorbyl phosphate (vitamin C), Rosa canina (rosehip) seed oil, Sodium hyaluronate, Xanthan gum, Citrus nobilis (mandarin orange) peel oil, Citric acid, Potassium sorbate, Sodium benzoate, Phenethyl alcohol, Sodium chloride, Potassium chloride, Disodium phosphate, Potassium phosphate, Benzyl alcohol**, Dehydroacetic acid**, limonene*
     * Components of natural essential oils
   ** Preserved with Dehydroacetic acid and Benzyl alcohol
    99.2% of total ingredients are from natural origin.

Description
Refresh and brighten the delicate skin around your eyes with our lightweight and nourishing daily eye gel, delivered via a cooling ceramic applicator.

Vitamin C and daisy extract energise dark circles and reduce the look of puffiness. Plant-derived hyaluronic acid hydrates for a smoothing moisture boost and cooling aloe vera refreshes and calms skin. Our unique formulation works to hydrate and revive tired puffy eyes while delivering antioxidants and vitamins to your skin to encourage ongoing renewal.

Usage
Gently squeeze tube, sweep and massage product on ceramic applicator across under-eye area. Tap any excess with fingertips. Apply to cleansed skin and before additional serums/oils/moisturisers."
AROMA CARE ORGANIC BRUISE & HEMATOMA CARE OIL,PRIMAVERA,Organic cosmetics,PRIMAVERA LIFE GmbH,"Ingredients
Helianthus Annuus (Sunflower) Seed Oil* org, Fragrance (Parfum)**, Helichrysum Italicum Flower Oil* org, Cistus Ladaniferus Oil* org, Tocopherol, Linalool**, Limonene**, Geraniol**
* org = certified organic cultivation
** from 100% natural essential oils"
AROMA CARE ORGANIC ORAL CARE OIL,PRIMAVERA,Organic cosmetics,PRIMAVERA LIFE GmbH,"Ingredients
Helianthus Annuus (Sunflower) Seed Oil* org, Sesamum Indicum (Sesame) Seed Oil* org, Cocos Nucifera (Coconut) Oil* org, Fragrance (Parfum)**, Laurus Nobilis Leaf Oil* org, Mentha Piperita (Peppermint) Oil* org, Hippophae Rhamnoides Fruit Oil* org*, Tocopherol, Limonene** 
* org = certified organic cultivation
** from 100% natural essential oils

Description
Effectively supports the maintenance of oral health and provides pleasant freshness. 
Laurel, peppermint, sea buckthorn pulp oil."
BADESALZ ROSENGARTEN,bi good,Natural cosmetics,GW Cosmetics GmbH,"Ingredients 
Sodium Chloride, Parfum*, Glycerin, Aqua, Nymphaea Alba Flower Extract, Citronellol*, Geraniol*
   * from natural essential oils

Description
Bath Salts White Water Lily
 - for relaxing bathing moments
 - pampers the skin with plant-based ingredients
 - the floral scent makes you forget everyday life
 - Certified natural cosmetics according to NATRUE & Vegan

Once the bath is in, we leave everyday life behind us in a relaxed manner and leave it behind us. - Salt and precious extract from the white water lily give a supple soft feeling that remains on the skin.

The delicate fragrance turns the bathroom into a small oasis of relaxation. And then there's our soothing bi good Lavender Bath Salts – for those who love variety by nature.

Usage
Add bath salts to the warm, run-in bath water and allow to dissolve completely. Optimal bathing temperature: 36-38 °C, bathing time: 10-20 minutes."
DUOBALSAM ALOE-APFEL,lipfein,Natural cosmetics,Things We Love GmbH,"Ingredients
Cocos Nucifera Oil *, Olea Europaea Fruit Oil *, Butyrospermum Parkii Butter, Candelilla Cera, Simmondsia Chinensis Seed Oil *, Spinacia Oleracea Leaf Powder *, Parfum, Aloe Barbadensis Leaf Juice Powder.
     * of controlled biological cultivation"
TINTED LIP BALM – FRESH PEACH 01,lavera,Natural cosmetics,Laverana GmbH & Co. KG,"Ingredients 
Ricinus Communis (Castor) Seed Oil*, Euphorbia Cerifera (Candelilla) Wax, Beeswax (Cera Alba)*, Titanium Dioxide (CI 77891), Copernicia Cerifera (Carnauba) Wax*, Fragrance (Parfum)**, Carmine (CI 75470), Butyrospermum Parkii (Shea) Butter*, Prunus Amygdalus Dulcis (Sweet Almond) Oil*, Prunus Persica (Peach) Kernel Oil, Mica, Bismuth Oxychloride (CI 77163), Iron Oxide (CI 77492), Tocopheryl Acetate, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil*, Linalool**, Limonene**, Geraniol**
     * of controlled biological cultivation 
   ** from natural essential oils

Description
The lavera Tinted Lip Balm combines subtle colour with gentle care.
The formula with vitamin E prevents your lips from drying out and gives them a soft touch of colour.
High-quality organic ingredients such as peach kernel oil, strawberry and dragon fruit extract provide an extra fruity feeling on your lips.
It leaves a naturally glossy finish with a sweet strawberry, sunny peach or exotic dragon fruit scent.
The delicate texture feels lovely and soft on the lips and protects sensitive lip skin from drying out. This is our promise to you – the wonderful feeling of wearing certified natural cosmetics on your lips.

Usage
Beginning at one corner of the mouth, apply evenly to the entire surface of both lips."
TINTED LIP BALM – PINK SMOOTHIE 02,lavera,Natural cosmetics,Laverana GmbH & Co. KG,"Ingredients 
Ricinus Communis (Castor) Seed Oil*, Euphorbia Cerifera (Candelilla) Wax, Beeswax (Cera Alba)*, Copernicia Cerifera (Carnauba) Wax*, Titanium Dioxide (CI 77891), Carmine (CI 75470), Hylocereus Undatus Fruit Extract*, Butyrospermum Parkii (Shea) Butter*, Prunus Amygdalus Dulcis (Sweet Almond) Oil*, Glycine Soya (Soybean) Oil*, Ultramarines (CI 77007), Tocopheryl Acetate, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil*, Fragrance (Parfum)**, Limonene**, Linalool**
     * of controlled biological cultivation 
   ** from natural essential oils

Description
The lavera Tinted Lip Balm combines subtle colour with gentle care.
The formula with vitamin E prevents your lips from drying out and gives them a soft touch of colour.
High-quality organic ingredients such as peach kernel oil, strawberry and dragon fruit extract provide an extra fruity feeling on your lips.
It leaves a naturally glossy finish with a sweet strawberry, sunny peach or exotic dragon fruit scent.
The delicate texture feels lovely and soft on the lips and protects sensitive lip skin from drying out. This is our promise to you – the wonderful feeling of wearing certified natural cosmetics on your lips.

Usage
Beginning at one corner of the mouth, apply evenly to the entire surface of both lips."
TINTED LIP BALM – STRAWBERRY RED 03,lavera,Natural cosmetics,Laverana GmbH & Co. KG,"Ingredients 
Ricinus Communis (Castor) Seed Oil*, Euphorbia Cerifera (Candelilla) Wax, Beeswax (Cera Alba)*, Copernicia Cerifera (Carnauba) Wax*, Mica, Titanium Dioxide (CI 77891), Carmine (CI 75470), Fragrance (Parfum)**, Fragaria Vesca (Strawberry) Fruit Extract*, Butyrospermum Parkii (Shea) Butter*, Prunus Amygdalus Dulcis (Sweet Almond) Oil*, Glycine Soya (Soybean) Oil*, Bismuth Oxychloride (CI 77163), Iron Oxide (CI 77492), Tin Oxide, Tocopheryl Acetate, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil*, Ascorbyl Palmitate, Linalool**, Limonene**, Coumarin**
     * of controlled biological cultivation 
   ** from natural essential oils

Description
The lavera Tinted Lip Balm combines subtle colour with gentle care.
The formula with vitamin E prevents your lips from drying out and gives them a soft touch of colour.
High-quality organic ingredients such as peach kernel oil, strawberry and dragon fruit extract provide an extra fruity feeling on your lips.
It leaves a naturally glossy finish with a sweet strawberry, sunny peach or exotic dragon fruit scent.
The delicate texture feels lovely and soft on the lips and protects sensitive lip skin from drying out. This is our promise to you – the wonderful feeling of wearing certified natural cosmetics on your lips.

Usage
Beginning at one corner of the mouth, apply evenly to the entire surface of both lips."
ANTI-AGING CREME-MASKE NATURKOSMETIK,silicea Naturkosmetik,Natural cosmetics,Anton Hübner GmbH&CoKG,"Ingredients
HYDRATED SILICA, AQUA, ALOE BARBADENSIS LEAF JUICE (aus kbA/from COF), GLYCERIN, SESAMUM INDICUM SEED OIL (aus kbA/from COF), CETEARYL ALCOHOL, GLYCERYL STEARATE CITRATE, CAPRYLIC/CAPRIC TRIGLYCERIDE, COCOS NUCIFERA OIL (aus kbA/from COF), DECYL OLEATE, GLYCERYL STEARATE, PRUNUS AMYGDALUS DULCIS OIL (aus kbA/from COF), PRUNUS ARMENIACA KERNEL OIL (aus kbA/ from COF), SIMMONDSIA CHINENSIS SEED OIL (aus kbA/from COF), SODIUM HYALURONATE, BISABOLOL, ROSMARINUS OFFICINALIS LEAF EXTRACT (aus kbA/from COF), HELIANTHUS ANNUUS SEED OIL (aus kbA/from COF), CYMBOPOGON WINTERIANUS HERB OIL, CINNAMOMUM CAMPHORA LINALOOLIFERUM LEAF OIL, CITRUS AURANTIUM DULCIS PEEL OIL EXPRESSED, CITRUS LIMON PEEL OIL, CYMBOPOGON MARTINI OIL, CITRUS RETICULATA PEEL OIL, CHONDRUS CRISPUS POWDER, CETEARYL GLUCOSIDE, CETYL ALCOHOL, STEARYL ALCOHOL, STEARIC ACID, GLYCERYL CAPRYLATE, PALMITIC ACID, HYDROGENATED PALM GLYCERIDES CITRATE, CITRONELLOL, D-LIMONENE, LINALOOL, GERANIOL, CITRAL, XANTHAN GUM, TOCOPHEROL, CITRIC ACID 
   COF = controlled organic farming; 100 % natural origin of total 

Description
The Hübner Original Silicea® Anti-Aging Cream Mask was specifically developed for the needs of mature skin with a unique formula containing pure mineral silica gel, hyaluronic acid, aloe vera gel and nourishing oils from sesame, almond, apricot kernels and jojoba. In addition, rosemary extract stimulates blood circulation and has a slightly antibacterial effect. Silica gel and hyaluronic acid have the remarkable ability to store very large amounts of water in tissue. This retains the skin's firmness and elasticity. Silica gel is also soothing, cooling and anti-inflammatory.
Wrinkles and lines are smoothed effectively, contours are tightened from within. For vital and rejuvenated skin with a radiant complexion. The skin noticeably gains moisture and is protected against environmental influences and free radicals. As an antioxidant, Vitamin E helps stressed skin to regenerate.

Clinically, dermatologically approved*
  -  100% of testers confirm the moisturising effect
  -   90% of testers confirm having a positive skin feeling after use
-     80% of testers rated the product as ""very good/good""

Usage
Apply to cleansed face, avoiding the areas around the mouth and eyes. Let the mask absorb for 10-15 minutes. Then gently massage any remaining product into the skin, remove with a tissue or rinse off with water. Apply once or twice per week."
PURE SHINE LIPGLOSS,alverde Naturkosmetik,Natural cosmetics,dm-drogerie markt GmbH + Co. KG,"Ingredients
Ricinus Communis Seed Oil, Capryloyl Glycerin/Sebacic Acid Copolymer, Simmondsia Chinensis Seed Oil*, Glyceryl Caprylate, Pentylene Glycol, Tocopherol, Magnolia Officinalis Bark Extract, Helianthus Annuus Seed Oil, Limonene**, Geraniol**, Citronellol**, Citral**, Linalool**, Parfum**
     * of controlled biological cultivation 
   ** from natural essential oils

Description
 - Vegan Lip Gloss
 - Glossy
 - Gives silky shine
 - Without a sticky feeling

The alverde NATURKOSMETIK Pure Shine Lip Gloss gives a silky shine without a sticky feeling and can be applied both pure and on lipstick. It contains nourishing castor and jojoba oil. The skin compatibility is dermatologically confirmed. Formulated without microplastics and water-soluble purely synthetic polymers."
JELLY PUDDING LIPGLOSS 70 CORAL CHIC,alverde Naturkosmetik,Natural cosmetics,dm-drogerie markt GmbH + Co. KG,"Ingredients
Ricinus Communis Seed Oil, Hydroxystearic/Linolenic/Linoleic Polyglycerides, Oleic/Linoleic/Linolenic Polyglycerides, Copernicia Cerifera Cera, Parfum, Butyrospermum Parkii Butter, Glyceryl Caprylate, Pentylene Glycol, Tocopherol, Magnolia Officinalis Bark Extract, Helianthus Annuus Seed Oil, Maltodextrin, Ascorbyl Palmitate, Limonene, Geraniol, Citronellol, Citral, Linalool, CI 75470, CI 77492, CI 77891"
DEO STICK SENSITIV,balmyou,Natural cosmetics,balmyou GmbH & Co KG,"Ingredients
Cocos nucifera oil (coconut oil*), Sodium bicarbonate (baking soda), Butyrospermum parkii (Pure Nilotica Shea Butter**),  Helianthus annuus seed wax (sunflower wax), Moringa oleifera seed oil (Moringa oil***)
       * from controlled organic cultivation
    ** from wild collection in Uganda
   *** from sustainable cultivation

Description
Our deodorant stick works effectively with just five ingredients. It inspires with a fine scent of coconut without the addition of essential oils, colorings and preservatives. It offers the perfect care for the sensitive and fine armpit skin - especially after shaving.

Pure nature helps against unpleasant odours: baking soda creates an alkaline environment in which bacteria can only multiply poorly, coconut oil has an anti-inflammatory and antibacterial effect with the lauric acid it contains and is the fragrant component in our deodorant stick.

Our pure Nilotica shea butter nourishes the armpit skin and makes it soft and supple. Moringa seed oil has an odor-neutralizing and antibacterial effect.

Sunflower wax keeps the deodorant stick in shape even in summer temperatures. We use an unscented sunflower wax."
KIDS' SENSITIVE SUN LOTION SPF 50+,lavera,Natural cosmetics,Laverana GmbH & Co. KG,"Ingredients 
Zinc Oxide, Coco-Caprylate/Caprate, Titanium Dioxide, Pongamia Glabra Seed Oil, Dicaprylyl Ether, Glycine Soja (Soybean) Oil*, Helianthus Annuus (Sunflower) Seed Oil*, Brassica Campestris/Aleurites Fordii Oil Copolymer, Stearic Acid, Polyhydroxystearic Acid, Cocos Nucifera (Coconut) Oil*, Mangifera Indica (Mango) Fruit Extract*, Carica Papaya (Papaya) Fruit Extract*, Glyceryl Oleate, Polyglyceryl-3 Polyricinoleate, Silica, Olea Europaea (Olive) Oil Unsaponifiables, Pongamol, Oryzanol, Tocopherol
      * ingredients from certified organic agriculture

Description
Immediate, reliable mineral protection specifically for children’s delicate skin with organic sunflower and organic coconut.

Discover the lavera secret behind naturally effective, skin-friendly sun care: Our carefully balanced, natural composition with mineral UV filters, organic sunflower oil and organic coconut oil offers you immediate, reliable protection. The light, extra water-resistant, fragrance-free formula with mineral sun protection reduces the risk of sun-related skin irritation, sun allergy and Mallorca acne and is suitable for people with neurodermatitis. Our carefully balanced, natural composition with mineral UV filters, organic sunflower oil and organic coconut oil offers you immediate, reliable protection.

The great feeling of 100% certified natural personal care – without compromising.

Usage
Shake well before use.
Apply generously before exposing your skin to the sun and reapply regularly, especially when perspiring or after spending time in the water. Keep babies and young children out of direct sunlight; use protective clothing and sunscreen with a high SPF. Even sunscreens with a high SPF do not offer complete protection from UV rays. Avoid the intense midday sun. Excessive sunbathing poses a serious health risk! Avoid contact with the eyes. Avoid direct contact with textiles (may stain). Provides a 1:3 ratio of UVA protection to UVB protection, as recommended by the European Commission."
SENSITIVE SUN SPRAY SPF 30,lavera,Natural cosmetics,Laverana GmbH & Co. KG,"Ingredients 
Coco-Caprylate/Caprate, Zinc Oxide, Pongamia Glabra Seed Oil, Dicaprylyl Ether, Titanium Dioxide, Glycine Soja (Soybean) Oil*, Helianthus Annuus (Sunflower) Seed Oil*, Alcohol* denat., Brassica Campestris/Aleurites Fordii Oil Copolymer, Polyhydroxystearic Acid, Stearic Acid, Cocos Nucifera (Coconut) Oil*, Mangifera Indica (Mango) Fruit Extract*, Carica Papaya (Papaya) Fruit Extract*, Glyceryl Oleate, Polyglyceryl-3 Polyricinoleate, Silica, Water (Aqua), Oryzanol, Pongamol, Olea Europaea (Olive) Oil Unsaponifiables, Tocopherol, Fragrance (Parfum)**, Limonene**, Linalool**, Geraniol**, Citronellol**, Citral**, Coumarin**, Eugenol**, Benzyl Benzoate**
      * ingredients from certified organic agriculture
    ** natural essential oils

Description
Immediate, reliable mineral protection for sensitive skin with organic sunflower and organic coconut.

Discover the lavera secret behind naturally effective, skin-friendly sun care: Our carefully balanced, natural composition with mineral UV filters, organic sunflower oil and organic coconut oil offers you immediate, reliable protection. The light, water-resistant formula with mineral sun protection reduces the risk of sun-related skin irritation, sun allergy and Mallorca acne and is suitable for people with neurodermatitis.

The great feeling of 100% certified natural personal care – without compromising.

Usage
Shake well before use.
Apply generously before exposing your skin to the sun and reapply regularly, especially when perspiring or after spending time in the water. Keep babies and young children out of direct sunlight; use protective clothing and sunscreen with a high SPF. Even sunscreens with a high SPF do not offer complete protection from UV rays. Avoid the intense midday sun. Excessive sunbathing poses a serious health risk! Avoid contact with the eyes. Avoid direct contact with textiles (may stain). Provides a 1:3 ratio of UVA protection to UVB protection, as recommended by the European Commission."
BAD DÜRRHEIM - SALZQUELL - HANDCREME,SALZQUELL®,Natural cosmetics,von Häring Naturkosmetik GmbH,"Ingredients
Aqua, Caprylic/Capric Triglyceride, Prunus Amygdalus Dulcis Oil *, Prunus Persica Kernel Oil, Glyceryl Stearate SE, Glycerin, Macadamia Integrifolia Seed Oil *, Cetearyl Alcohol, Palmitic Acid, Stearic Acid, Calendula Officinalis Flower Extract *, Salix Alba Bark Extract, Maris Sal, Glycine Soja Oil *, Tocopherol, Cymbopogon Martini Herb Oil, Citrus Limon Peel Oil *, Helianthus Annuus Seed Oil, Benzyl Alcohol, Sodium Phytate, Alcohol, Glyceryl Caprylate, Glyceryl Undecylenate *, Sodium Hydroxide, Potassium Sorbate, Sodium Benzoate, Geraniol **, Farnesol **, Linalool **, Citral **, Limonene **, Pinene **, Terpinolene **
     * ingredients from certified organic agriculture 
   ** from natural essential oils

Description
Natural care based on pure brine in combination with natural healing water from Bad Dürrheim. This hand cream nourishes your hands soothing and gently.

Give your hands a long-lasting feeling of care thanks to the effective interaction of Bad Dürrheim's brine and natural healing water. Smoothing peach kernel, almond and macadamia nut oil make your hands soft and supple. Vegetable glycerin provides the skin with unparalleled moisture.

This high-quality recipe is complemented by willow bark and calendula. They have an antiseptic effect, soothe and regenerate. Vitamin E has antioxidant properties and can counteract the premature aging process. Even heavily stressed hands experience a supple skin feeling."
100% NATURAL ESSENTIAL OIL PEPPERMINT DEMETER,PRIMAVERA,Organic cosmetics,PRIMAVERA LIFE GmbH,"Ingredients 
Mentha Piperita (Peppermint) Oil* org, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils

Description
- Bot. Mentha piperita
- Herb 
- Steam distillation

Usage
For room scenting, mixed and diluted for cosmetic and therapeutic application on the skin e.g. in face and body oils, for massage oils, for therapeutic rubbing in and for wraps, as bath additive, for masks, for self-mixed cosmetic products"
AEOS CLEANSING OIL DÉ-MAQ,AEOS,Organic cosmetics,Aura-Soma Products Ltd.,"Ingredients
Vitis Vinifera (Grape) Seed Oil, Simmondsia Chinensis (Jojoba) Oil, Sesamum Indicum (Sesame) Seed Oil, Squalane, Persea Gratissima (Avocado) Oil, Opuntia Ficus Indica (Prickly Pear) Seed Oil, Boswellia neglecta (Frankincense) Resin Oil, Triticum Spelta (Spelt) Seed Oil, Tocopherol (Vitamin E), Rosa Damascena (Rose) Flower Oil, Citronellol*, Geraniol*, Linalool*, Farnesol*
     * from natural essential oils

Main ingredients
Grapeseed Oil, Jojoba Oil, Sesame Seed Oil, Avocado Oil, Spelt Oil, Prickly Pear Seed Oil, Rose Bulgaria Oil, Frankincense Oil

Description
Rapidly reveal a smooth, glowing, nourished complexion, as you remove every last trace of make-up and impurities with our oil-based cleanser. A transforming blend of premium-grade organic and biodynamic oils and plant extracts, this revolutionary formula helps normal/dry skin retain optimal moisture with the pure power of plants, as well as balancing oily/combination skin types."
FRESH & CLEAN CLEANSING FOAM,alviana Naturkosmetik,Natural cosmetics,Bonano GmbH,"Ingredients
Aqua, Decyl Glucoside, Sodium Coco-Sulfate, Glycerin, Betaine, Disodium Cocoyl Glutamate, Citric Acid, Cucumis Sativus Fruit Extract*, Sodium Cocoyl Glutamate, Parfum**, Ethyl Lauroyl Arginate Hcl, Linalool**, Sodium Hydroxide, Benzyl Alcohol**, Geraniol**
     * ingredients from certified organic agriculture
   ** from natural essential oils

Description
Refreshing cleansing for all skin types and every day! The soft alviana Fresh & Clean Cleansing Foam:

   -    gently removes excess skin oil, dirt particles and make-up
   -    contains organic cucumber extract
   -    provides for a radiantly fresh skin

Bottle made of 100% recycled material (not including cap or dispenser head)
Label made of 50% recycled material

Usage
Apply to moist skin, massage in gently and rinse off with lukewarm water."
REJUVENATE SKIN PERFECTING AHA SLEEP SERUM,Amala,Natural cosmetics,Amala LLC,"Ingredients  
Hamamelis Virginiana (Witch Hazel) Leaf Water, Water (Aqua), Pentylene Glycol, Lactococcus Ferment Lysate, Lactic Acid, Lactobacillus/Cocoa Fruit Ferment Filtrate, Salvia Hispanica Seed Extract, Inulin, Sodium Lactate, Vaccinium Myrtillus Fruit Extract, Linum Usitatissimum (Linseed) Seed Extract, Dipotassium Glycyrrhizate, Lauroyl Lysine, Saccharum Officinarum (Sugarcane) Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon Fruit Extract, Phyllanthus Emblica Extract, Acacia Senegal Gum, Alpha-Glucan Oligosaccharide, Paeonia Lactiflora Extract, Spirulina Platensis Extract, Colloidal Gold, Citric Acid, Yeast Ferment Extract, Acer Saccharum Extract, Aminobutyric Acid, Lactobacillus, Saccharide Isomerate, Fragrance (Parfum)+, Citrus Limon (Lemon) Peel Oil*, Styrax Benzoin Resin Extract*, Vanilla Planifolia Fruit Extract*, Cananga Odorata Flower Oil*, Dipteryx Odorata Seed Extract*, Rosa Damascena Flower Oil*, Jasminum Grandiflorum (Jasmine), Citrus Aurantium Bergamia (Bergamot) Peel Oil*, Leuconostoc/Radish Root Ferment Filtrate, Bisabolol, Potassium Sorbate, Lactobacillus Ferment, Lysolecithin, Sclerotium Gum, Pullulan, Xanthan Gum, Phenethyl Alcohol, Silica, Sodium Citrate, Sodium Benzoate, Limonene+, Linalool+, Citral+, Benzyl Benzoate+
       * Ingredient produced by organic farming
      + From 100% natural essential oils and extracts

Description
While you’re asleep, this powerful resurfacing serum works overtime to gently, thoroughly exfoliate uneven texture and diminish the look of lines.

In an independent clinical study, 85% of participants showed significant improvement in skin smoothness after just 4 weeks.
Usage
Press into clean skin every evening, avoiding the eye area. 
Slight tingling may be experienced. 
Due to potential sun sensitivity, this product is not recommended for daytime use. 
Apply sunscreen daily while using this product.

Additional information
30ml"
NATURAL HIGHLIGHTER 01 NUDE E,SANTE,Natural cosmetics,LOGOCOS Naturkosmetik GMBH & CO. KG,"Ingredients 
Talc, Mica, Caprylic/Capric Triglyceride, Macadamia Integrifolia/Tetraphylla Seed Oil, Synthetic Fluorphlogopite, Magnesium Stearate, Ricinus Communis (Castor) Seed Oil*, Kaolin, Aloe Barbadensis Leaf Juice Powder*, p-Anisic Acid, Glyceryl Caprylate, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil*, Parfum (Fragrance)**, Maltodextrin, Tin Oxide, Alumina, Magnesium Oxide, CI 77891 (Titanium Dioxide), CI 77499 (Iron Oxides), CI 77492 (Iron Oxides), CI 77491 (Iron Oxides), CI 75470 (Carmine: Contains carmine as a color additive)
     *  from certified organic agriculture
   ** natural essential oil"
MATTE LIPSTICK 02 GENTLE ROSE,SANTE,Natural cosmetics,LOGOCOS Naturkosmetik GMBH & CO. KG,"Ingredients 
Ricinus Communis (Castor) Seed Oil, Helianthus Annuus Hybrid Oil*, Silica, Euphorbia Cerifera (Candelilla) Wax, Talc, Distarch Phosphate, Cera Alba (Beeswax), Copernicia Cerifera (Carnauba) Wax, Coco-Caprylate, Prunus Amygdalus Dulcis (Sweet Almond) Oil*, Theobroma Cacao (Cocoa) Seed Butter*, Rhus Verniciflua Peel Wax, Hydrogenated Castor Oil, Caprylic/Capric Triglyceride, Lycium Barbarum Fruit Extract*, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil*, Aroma (Flavor)**, Linalool**, Benzyl Alcohol**, Maltodextrin, CI 77891 (Titanium Dioxide), CI 77742 (Manganese Violet), CI 77491 (Iron Oxides), CI 77499 (Iron Oxides), CI 75470 (Carmine: Contains carmine as a color additive)
     *  from certified organic agriculture
   ** natural essential oil"
