Product Name,Brand,Certification,Manufacturer,Description
SEA BUCKTHORN REVITALISING BODY OIL,Weleda,Organic cosmetics,Weleda AG,"Ingredients
Sesamum Indicum (Sesame) Seed Oil*, Hippophae Rhamnoides Oil*, Fragrance (Parfum)**, Limonene**, Linalool**, Citronellol**, Benzyl Benzoate**, Benzyl Salicylate**, Geraniol**, Citral**, Farnesol**.
     *of controlled biological cultivation 
   ** from natural essential oils

Description
In the thin, dry air of mountains and high, arid places, sea buckthorn stores energy and nutrition within its small, red-gold fruit. 
The organic oil we press from flesh and seeds is intensely nourishing, rich in unsaturated fatty acids and vitamins, and naturally compatible to be readily absorbed into skin. We blend it with light, easily absorbed sesame oil and fresh-fragrant essential oils, bringing golden radiance and smoothness to your body.

Usage
Gently massage a few drops onto damp skin after bath or shower."
WILD ROSE HARMONISING BODY OIL,Weleda,Natural cosmetics,Weleda AG,"Ingredients
Simmondsia Chinensis (Jojoba) Seed Oil*, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Rosa Moschata Seed Oil*, Rosa Damascena Flower Oil, Fragrance (Parfum)**, Limonene**, Linalool**, Citronellol**, Benzyl Alcohol**, Benzyl Benzoate**, Geraniol**, Citral**, Eugenol**, Farnesol**
     *of controlled biological cultivation 
   ** from natural essential oils

Description
Everything about the rose is harmonious, especially her balance between vigorous growth and delicate beauty, vibrant autumn fruit and heady summer fragrance. 
Captured in this indulgent body oil comes harmony to the senses from precious organic oil of wild roses, carefully blended with sweet almond and organic jojoba oil. Your skin drinks in goodness while the delicate scent of damask roses soothes your spirit.

Suitable for vegetarians.

Usage
Massage a few drops into damp skin after shower or bath. Can be used to enrich Wild Rose Pampering Body Lotion."
INSPIRE SHOWER CREAM POMEGRANATE,Weleda,Natural cosmetics,Weleda AG,"Ingredients
Water (Aqua), Coco-Glucoside, Sesamum Indicum (Sesame) Seed Oil*, Alcohol*, Disodium Cocoyl Glutamate, Helianthus Annuus (Sunflower) Seed Oil*, Glycerin, Carrageenan, Limonene**, Sodium Cocoyl Glutamate, Macadamia Ternifolia Seed Oil*, Punica Granatum Seed Oil*, Panicum Miliaceum (Millet) Seed Extract*, Helianthus Annuus (Sunflower) Petal Extract, Xanthan Gum, Lactic Acid, Fragrance (Parfum)**, Linalool**, Citronellol**, Geraniol**, Citral**, Coumarin**
     *of controlled biological cultivation 
   ** from natural essential oils

Description
The pomegranate is a wise and potent plant, with long- revered qualities which we still find effective. Its skin-loving organic seed oil is a key ingredient of our creamy body wash, enhanced for your pleasure with sesame, sunflower, and macadamia – rich oils from every continent to replenish your skin. While warm water sets free fruity-fresh, sweet notes of orange, davana and vanilla, mild sugar-based cleansers gently lift away the day, bringing you a sense of harmony and bright, clean, perfectly soft skin.

Suitable for vegans

Usage
Under a running shower or in the bath, use in place of soap and massage onto wet skin. Will not produce high lather. Rinse off and follow with Pomegranate Regenerating Body Oil for intensive moisture."
VITALITY SHOWER CREAM SEA BUCKTHORN,Weleda,Natural cosmetics,Weleda AG,"Ingredient
Water (Aqua), Sesamum Indicum (Sesame) Seed Oil*, Coco-Glucoside, Alcohol*, Disodium Cocoyl Glutamate, Glycerin, Carrageenan, Fragrance (Parfum)**, Hippophae Rhamnoides Oil*, Rosmarinus Officinalis (Rosemary) Leaf Extract*, Lactic Acid, Sodium Cocoyl Glutamate, Xanthan Gum, Limonene**, Linalool**, Citral**
     *of controlled biological cultivation 
   ** from natural essential oils

Description
If you could take sunshine into the shower, it would smell and feel like this. Sun-ripened sea buckthorn fruits are pressed for their organic golden flesh and seed oil, rich in vitamins to pamper your skin. Sun-blessed oranges, mandarins and grapefruit lend their zestful fragrance while the cream gently cleans your skin with mild sugar based cleansers. Step out sun-kissed, summer-loved and fresh all over.

Suitable for vegans.

Usage
In the shower or bath, use generously all over. Will not create high lather. Enhance the moisturising effect by following with Sea Buckthorn Replenishing Body Lotion or Body Oil."
ANTI-DANDRUFF SHAMPOO WITH ORGANIC JUNIPER OIL,Logona,Natural cosmetics,LOGOCOS Naturkosmetik GMBH & CO. KG,"Ingredients 
Aqua (Water), Alcohol*, Coco-Glucoside, Glycerin, Disodium Cocoyl Glutamate, Glyceryl Oleate, Sodium PCA, Sodium Cocoyl Glutamate, Polyglyceryl-10 Laurate, Xanthan Gum, Citric Acid, Betaine, Juniperus Oxycedrus Wood Oil*, Rosmarinus Officinalis (Rosemary) Leaf Extract*, Populus Nigra Bud Extract, Phytic Acid, Betula Alba Leaf Extract*, Urtica Dioica (Nettle) Extract*, Levulinic Acid, Salix Alba (Willow) Bark Extract, Sodium Levulinate, Tannic Acid, Tocopherol, Hydrogenated Palm Glycerides Citrate, Lecithin, Ascorbyl Palmitate
     *  from certified organic agriculture

Description
✓ Works effectively against dandruff
✓ Soothes irritated and dry scalp
✓ Mild cleaning substances
✓ Prevents the formation of new dandruff with regular use

The Juniper Oil Anti-Dandruff Shampoo has been specifically developed to meet the requirements of irritated, dry scalps prone to dandruff. Mild cleansing agents and an innovative plant active complex with Organic juniper oil* and carefully selected extracts calm, clean and care for scalps in need of balance. Recommended for daily use."
CARE SHAMPOO WITH ORGANIC NETTLE EXTRACT,Logona,Natural cosmetics,LOGOCOS Naturkosmetik GMBH & CO. KG,"Ingredients 
Aqua (Water), Coco-Glucoside, Alcohol*, Glycerin, Disodium Cocoyl Glutamate, Sodium Cocoyl Glutamate, Sodium PCA, Xanthan Gum, Glyceryl Oleate, Citric Acid, Urtica Dioica (Nettle) Extract*, Phytic Acid, Levulinic Acid, Sodium Levulinate, Tocopherol, Hydrogenated Palm Glycerides Citrate, Lecithin, Ascorbyl Palmitate, Parfum (Fragrance)**, Limonene**, Linalool** 
     *  from certified organic agriculture
   ** natural essential oil

Description
✓ Mild cleansing for every hair
✓ Gives glow and freshness
✓ Moisturizing
✓ For the whole family and daily use

The Nettle Essential Care Shampoo is a mild shampoo for all the family. A carefully selected combination of cleansing plant-based active ingredients ensure gentle care. Natural moisturisers and valuable plant extracts like organic nettle* provide volume, shine and freshness."
GREASY HAIR SHAMPOO WITH ORGANIC LEMON BALM EXTRACT,Logona,Natural cosmetics,LOGOCOS Naturkosmetik GMBH & CO. KG,"Ingredients 
Aqua (Water), Coco-Glucoside, Alcohol*, Glycerin, Disodium Cocoyl Glutamate, Sodium PCA, Sodium Cocoyl Glutamate, Xanthan Gum, Betaine, Citric Acid, Citrus Aurantifolia (Lime) Oil, Glyceryl Oleate, Melissa Officinalis Leaf Extract*, Phytic Acid, Urtica Dioica (Nettle) Extract*, Levulinic Acid, Sodium Levulinate, Tocopherol, Hydrogenated Palm Glycerides Citrate, Lecithin, Ascorbyl Palmitate, Limonene**
     *  from certified organic agriculture
   ** natural essential oil

Description
✓ Gives lightness and freshness to quickly greasy hair
✓ Gently harmonizes the natural balance of the scalp
✓ Cleanses mildly and intensively
✓ Fresh scent

The Lemon Balm Balance Shampoo has been specifically developed to meet the requirements of irritated scalps and hair that quickly becomes greasy. Mild cleansing agents and a calming care complex with plant betaine, Organic lemon balm extract*, silk proteins and wheat bran gently rid the hair of excess fat and carefully harmonise the scalp’s natural balance. Recommended for daily use."
VOLUMISING SHAMPOO WITH ORGANIC HONEY AND BEER,Logona,Natural cosmetics,LOGOCOS Naturkosmetik GMBH & CO. KG,"Ingredients 
Aqua (Water), Coco-Glucoside, Beer, Alcohol*, Glycerin, Disodium Cocoyl Glutamate, Sodium PCA, Sodium Cocoyl Glutamate, Xanthan Gum, Glyceryl Oleate, Mel (Honey)*, Citric Acid, Phytic Acid, Calendula Officinalis Flower Extract*, Urtica Dioica (Nettle) Extract*, Levulinic Acid, Sodium Levulinate, Tocopherol, Hydrogenated Palm Glycerides Citrate, Lecithin, Ascorbyl Palmitate, Parfum (Fragrance)**, Limonene**, Linalool** 
     *  from certified organic agriculture
   ** natural essential oil

Description
✓ Gives fine, weak hair volume and thickness
✓ Strengthens the hair structure
✓ Gently cleanses and cares

The Beer and Honey Volume Shampoo has been specifically developed to meet the requirements of fine, sensitive hair. Mild cleansing agents, structure-fortifying beer, organic honey* and a carefully selected composition of plant extracts leave hair visibly more volumised and supple without weighing it down."
COLOUR REFLEX SHAMPOO ORGANIC HENNA,Logona,Natural cosmetics,LOGOCOS Naturkosmetik GMBH & CO. KG,"Ingredients
Aqua (Water), Alcohol denat.*, Coco-Glucoside, Glycerin, Disodium Cocoyl Glutamate, Sodium PCA, Sodium Cocoyl Glutamate, Glyceryl Oleate, Calendula Officinalis Flower Extract*, Lawsonia Inermis (Henna) Extract*, Juglans Regia (Walnut) Shell Extract*, Betula Alba Leaf Extract*, Hydrolyzed Corn Protein, Hydrolyzed Wheat Protein, Hydrolyzed Soy Protein, Leuconostoc/Radish Root Ferment Filtrate, Xanthan Gum, Citric Acid, Phytic Acid, Tocopherol, Hydrogenated Palm Glycerides Citrate, Lecithin, Ascorbyl Palmitate, Parfum (Fragrance)**, Limonene**, Linalool**, CI 75120 (Annatto)
     *  from certified organic agriculture
   ** natural essential oil

Description
✓ Colour protection for natural red-brown or dyed hair
✓ Provides shine and swing
✓ Revitalizes color intensity
✓ Mild cleansing and intensive care

The Henna Colour Care Shampoo gently cleans plant-dyed and naturally red-brown hair with its mild sugar surfactants. The colour care formula on a natural basis with colour-enhancing organic Henna and Carotine extract as well as vegetable proteins increases the colour shine of the hair and makes it noticeably smoother. Ideal for daily use."
COLOUR REFLEX SHAMPOO ORGANIC HAZELNUT,Logona,Natural cosmetics,LOGOCOS Naturkosmetik GMBH & CO. KG,"Ingredients 
Aqua (Water), Alcohol denat.*, Coco-Glucoside, Glycerin, Disodium Cocoyl Glutamate, Sodium PCA, Sodium Cocoyl Glutamate, Glyceryl Oleate, Calendula Officinalis Flower Extract*, Corylus Avellana (Hazelnut) Seed Oil*, Betula Alba Leaf Extract*, Juglans Regia (Walnut) Shell Extract*, Caramel, Hydrolyzed Corn Protein, Hydrolyzed Wheat Protein, Hydrolyzed Soy Protein, Leuconostoc/Radish Root Ferment Filtrate, Xanthan Gum, Citric Acid, Phytic Acid, Tocopherol, Hydrogenated Palm Glycerides Citrate, Lecithin, Ascorbyl Palmitate, Parfum (Fragrance)**, Limonene**, Linalool**
     *  from certified organic agriculture
   ** natural essential oil

Description
✓ Colour care and colour protection for naturally brown-black or dyed hair
✓ For natural color shine
✓ Revitalizes color intensity
✓ Mild cleansing and intensive care

The Hazelnut Colour Care Shampoo is ideal for herbal-dyed and natural brown and black hair. Extra mild cleansing, plant-based ingredients provide particularly gentle care. A natural care system and colouring extracts like Organic walnut* restore tone intensity and lend hair a vibrant shine, vitality and suppleness."
COLOUR REFLEX SHAMPOO WITH ORGANIC CAMOMILE EXTRACT,Logona,Natural cosmetics,LOGOCOS Naturkosmetik GMBH & CO. KG,"Ingredients 
Aqua (Water), Coco-Glucoside, Alcohol*, Glycerin, Disodium Cocoyl Glutamate, Sodium PCA, Sodium Cocoyl Glutamate, Hydrolyzed Corn Protein, Xanthan Gum, Glyceryl Oleate, Hydrolyzed Wheat Protein, Hydrolyzed Soy Protein, Citric Acid, Chamomilla Recutita (Matricaria) Flower*, Leuconostoc/Radish Root Ferment Filtrate, Phytic Acid, Levulinic Acid, Urtica Dioica (Nettle) Extract*, Sodium Levulinate, Calendula Officinalis Flower Extract*, Tocopherol, Hydrogenated Palm Glycerides Citrate, Lecithin, Ascorbyl Palmitate, Parfum (Fragrance)**, Limonene** 
     *  from certified organic agriculture
   ** natural essential oil

Description
✓ Colour protection for naturally blonde or dyed hair
✓ Provides shine and swing
✓ Revitalizes color intensity
✓ Mild cleansing and intensive care

The Chamomile Colour Care Shampoo with Organic chamomile* and Organic calendula extract* provides perfect care for herbal-dyed and naturally blonde hair. Extra mild cleansing, plant-based ingredients provide particularly gentle care. A natural care system and colouring extracts restore tone intensity and lend hair a vibrant shine, vitality and suppleness. Recommended for daily use."
AUFBAUENDES ALGEN-WIRKSTOFFKONZENTRAT,Oceanwell,Natural cosmetics,oceanBASIS GmbH,"Ingredients
Saccharomyces/Laminaria Saccharina Ferment, Maris Aqua, Alcohol, Xanthan Gum.
Preserved with: Benzyl Alcohol, Sodium Benzoate, Potassium Sorbate

Description
Oceanwell Vitalising Algae Concentrate 

Intensive regenerating treatment for face, neck and décolleté. Hydration and regeneration - new vitality and elasticity"
